Player,Pos,G,MP,FGA,3PA,3P%
Keith McLeod,PG,33,11.8,2.5,0.3,0.1
Nikoloz Tskitishvili,PF,39,7.9,3.1,0.3,0.273
Sean Rooks,C,55,10.8,2.7,0,0
Vladimir Stepania,C,42,10.8,2.5,0,0
Jamison Brewer,PG,13,12.3,2.7,1.1,0.357
Paul Grant,C,10,9.8,2.3,0,0
Mark Jackson,PG,42,13.7,2.4,1,0.171
Oliver Miller,C,48,10.5,2.1,0,0
Tamar Slay,SG,22,7.5,2.7,0.5,0.333
Luke Walton,PF,72,10.1,2.1,0.5,0.333
Kaniel Dickens,PF,3,4,1,0,0
DeSagana Diop,C,56,13,2.6,0,0
Eddie Gill,PG,22,7.1,1.6,0.4,0.375
Jeff Trepagnier,SG,11,8.7,3.5,0.4,0.5
Dan Langhi,SF,6,6.2,2.3,0.3,0.5
