Player,Pos,G,3PAr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%
Bismack Biyombo,C,28,0,8.7,23.4,16,7.9,1.5,3.9,17.8,12.3
Jaylen Clark,SG,40,0.425,5.6,5.6,5.6,6.7,3.4,0.4,5.5,12
Rob Dillingham,PG,49,0.351,2.6,8,5.4,28.4,1.9,0.2,19.6,22.7
Colby Jones,SG,39,0.38,4.3,13.6,9,12,2.4,2.4,13.7,13.7
Craig Porter Jr.,PG,51,0.343,4.1,9.9,7.1,17.7,1.6,2.6,19.8,15.9
Tristan Vukcevic,C,35,0.421,5.2,21.2,13.2,13,1,4,13.4,25.7
Elfrid Payton,PG,24,0.049,3.1,13.9,8.3,43.3,2.3,2.1,32.1,15.2
Jamal Cain,SF,37,0.506,5.6,12.8,9.1,6.2,2.2,1.7,10.9,17
Keaton Wallace,PG,31,0.506,1.5,9.6,5.5,21,2.6,1.7,16.5,16.4
Jock Landale,C,42,0.171,11.7,17.6,14.6,10.3,1.3,1.8,11,15.7
Vince Williams Jr.,SG,27,0.569,4.7,15.9,10.4,13.8,1.1,1.3,15.7,17
Wendell Moore Jr.,SG,36,0.325,6.4,14.3,10.3,11.6,1.9,1,16.6,13.8
